<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010104,32200,105.8,105.8,105.79,105.79,4,105.78412163558471,105.78355246032802,-0.0005691752566860941,-0.006537770237658733,1,-1,0
EURJPY,20010104,32300,105.8,105.82,105.8,105.82,4,105.78677929220807,105.78915977412372,0.0023804819156509893,-0.004754119806996788,1,1,0
EURJPY,20010104,32400,105.83,105.84,105.81,105.81,4,105.78849934463709,105.79236596272007,0.0038666180829807217,-0.0030299722290012864,1,1,0
EURJPY,20010104,32500,105.82,105.83,105.82,105.83,4,105.79157346725657,105.79815581460929,0.006582347352718898,-0.0011075083126572494,1,1,0
EURJPY,20010104,32600,105.83,105.83,105.83,105.83,4,105.79441987708942,105.80305492005401,0.008635042964584727,0.000841001942791146,1,1,0
EURJPY,20010104,32700,105.83,105.84,105.83,105.83,4,105.79705544174948,105.80720031696877,0.010144875219296523,0.0027017765980922215,1,1,0
EURJPY,20010104,32800,105.83,105.83,105.83,105.83,4,105.79949577939767,105.81070796051203,0.01121218111435951,0.004403857501345679,1,1,0
EURJPY,20010104,32900,105.82,105.82,105.82,105.82,4,105.8010146105534,105.81213750504864,0.011122894495244395,0.0057476649001254225,1,1,0
EURJPY,20010104,33000,105.82,105.82,105.8,105.8,4,105.8009394542161,105.81027019657961,0.009330742363502509,0.00646428039280084,1,1,0
EURJPY,20010104,33100,105.79,105.79,105.79,105.79,4,105.80012912427418,105.80715170479814,0.007022580523965871,0.006575940419033846,1,1,0
EURJPY,20010104,33200,105.79,105.79,105.78,105.79,4,105.79937881877238,105.80451298098305,0.005134162210666204,0.006287584777360318,-1,1,-1
EURJPY,20010104,33300,105.79,105.8,105.79,105.8,4,105.79942483219665,105.80381867621642,0.004393844019773496,0.005908836625842954,-1,1,0
EURJPY,20010104,33400,105.8,105.8,105.8,105.8,4,105.79946743721912,105.80323118756775,0.0037637503486251944,0.0054798193703994025,-1,1,0
EURJPY,20010104,33500,105.8,105.81,105.8,105.81,4,105.80024762705474,105.80427254332656,0.004024916271816892,0.005188838750682901,-1,1,0
